idHVIngresos,strTengoIngresos,strAnioIngresos,decRemuBrutaPublico,decRemuBrutaPrivado,decRentaIndividualPublico,decRentaIndividualPrivado,decOtroIngresoPublico,decOtroIngresoPrivado,idEstado,strUsuario,idHojaVida
129371,1,2018,0,9600,0,0,0,0,1,,130601
129367,1,2018,10518.42,0,5400,0,7800,0,1,,130597
129361,1,2018,107147.84,0,0,0,0,0,1,,130591
129357,1,2018,0,0,33600,0,0,0,1,,130587
130168,1,2018,0,43200,0,0,0,0,1,,131471
130178,1,2018,0,28000,0,0,0,0,1,,131481
132231,1,2018,27000,0,0,0,0,0,1,,133573
131335,1,2018,0,13550,0,0,0,0,1,,132668
131227,1,2018,0,24000,0,0,0,0,1,,132566
132357,1,2018,0,0,0,0,0,214236,1,,133733
130057,2,,0,0,0,0,0,0,1,,131344
130417,1,2018,0,14400,0,0,0,0,1,,131725
130412,1,2018,22000,0,0,0,0,0,1,,131727
129252,1,2018,46800,0,0,0,0,7200,1,,130471
129251,1,2018,0,10680,0,0,0,52771,1,,130470
129253,1,2018,26400,0,0,22000,0,0,1,,130472
130990,1,2018,50400,0,0,0,0,0,1,,131803
130274,1,2018,0,34280,0,0,0,0,1,,131589
129608,1,2018,0,0,0,24000,0,0,1,,130861
129721,1,2018,18600,0,0,0,0,0,1,,130981
129707,2,,0,0,0,0,0,0,1,,130968
130197,1,2018,0,20000,0,0,0,5000,1,,131497
130207,1,2018,35000,0,0,25000,0,0,1,,131506
130209,1,2018,0,78000,0,0,0,0,1,,131513
130215,1,2018,12000,0,0,10000,0,0,1,,131516
130916,2,,0,0,0,0,0,0,1,,132267
130928,1,2018,0,33000,0,0,0,0,1,,132270
130577,1,2018,0,26400,0,0,0,0,1,,131868
131011,1,2017,210000,0,0,0,0,0,1,,132352
131086,1,2018,102000,60000,0,0,0,0,1,,132421
131074,1,2018,0,0,0,24000,0,0,1,,132409
131052,1,2018,120000,0,10000,0,0,0,1,,132397
131106,1,2018,0,9000,0,0,0,0,1,,132442
131040,1,2018,0,18000,0,1000,0,0,1,,132385
129794,1,2018,0,0,0,9373,0,0,1,,131043
129789,1,2018,0,0,0,0,0,136652,1,,131042
130962,1,2018,0,11160,0,0,0,6000,1,,132149
129120,1,2018,90995.64,0,0,1440,0,0,1,,130326
129127,1,2018,22880,0,0,0,0,0,1,,130335
129136,1,2018,0,10000,0,0,0,0,1,,130343
131967,1,2018,84000,0,0,0,25000,0,1,,132671
132127,1,2018,0,0,0,1200,0,1500,1,,133486
131827,1,2017,0,0,0,80000,0,240000,1,,133147
131826,1,2017,0,0,0,80000,0,240000,1,,133147
131881,1,2018,1000,0,0,0,0,0,1,,133226
131864,1,2018,0,0,0,10000,0,0,1,,133208
129238,1,2018,0,10800,0,0,0,0,1,,130443
129255,1,2018,2176.57,0,0,0,0,75427.32,1,,130475
130234,1,2018,0,0,0,0,0,60000,1,,131514
129256,1,2018,24000,0,0,0,0,0,1,,130476
129257,1,2018,0,4400,0,0,0,0,1,,130477
130217,1,2018,14400,0,0,0,0,0,1,,131515
130464,1,2018,0,0,0,30000,0,0,1,,131783
130492,1,2018,0,11460,0,60000,0,0,1,,131779
130477,1,2018,0,0,6000,8000,0,0,1,,131796
130525,1,2018,86600,0,0,0,0,0,1,,131828
130508,1,2018,12000,0,0,0,0,0,1,,131830
130553,1,2018,0,36000,0,0,0,0,1,,131878
130562,2,,0,0,0,0,0,0,1,,131891
129729,1,2018,93600,0,0,0,0,0,1,,130971
129757,1,2018,36000,0,0,0,0,0,1,,131001
129765,1,2018,12000,0,0,0,0,0,1,,131031
129060,1,2018,0,25845.27,0,0,0,35852,1,,130255
129063,1,2018,21300,26660,0,0,0,0,1,,130256
129140,1,2018,27300,0,0,0,0,0,1,,130265
129067,1,2018,0,0,0,0,0,35000,1,,130267
132184,1,2018,0,5000,0,0,0,0,1,,133452
132091,2,,0,0,0,0,0,0,1,,133453
132103,2,,0,0,0,0,0,0,1,,133467
131715,1,2018,0,24000,0,0,0,0,1,,133049
131712,1,2018,0,24000,0,0,0,0,1,,133048
130951,2,,0,0,0,0,0,0,1,,132293
131702,1,2018,0,0,0,812880,0,0,1,,133035
131705,1,2018,0,24000,0,12000,0,0,1,,133042
131704,1,2018,0,19200,0,0,0,0,1,,133045
131720,1,2018,0,20000,0,0,0,0,1,,133057
131943,1,2018,0,0,0,33600,0,0,1,,133199
131905,1,2018,0,0,0,32000,0,0,1,,133202
131853,1,2018,0,0,0,14400,0,0,1,,133192
129973,1,2018,2089,0,0,0,0,0,1,,130885
129998,1,2018,5000,0,0,0,0,0,1,,130882
130198,1,2018,20000,30000,0,0,0,0,1,,130867
130211,1,2018,0,0,1500,0,0,0,1,,130878
131741,1,2018,0,0,0,36000,0,0,1,,133025
131766,1,2018,0,22000,0,0,36660,24000,1,,133100
131719,1,2018,36600,0,0,0,0,0,1,,133033
131692,1,2018,0,0,0,41500,8076,0,1,,133030
131727,1,2018,0,10000,0,15000,0,0,1,,133068
131726,1,2018,0,10000,0,15000,0,0,1,,133068
131903,1,2018,0,14501.23,37000,0,0,0,1,,133148
132217,1,2018,0,190000,0,0,0,0,1,,133250
129745,1,2018,0,0,120000,0,0,0,1,,130999
129758,1,2018,27600,0,0,0,0,0,1,,131027
129784,1,2018,0,0,36000,0,0,0,1,,130852
129763,1,2018,0,19200,0,0,0,12000,1,,131032
129685,1,2018,0,0,130000,0,0,0,1,,130945
129751,1,2018,0,0,0,24000,0,0,1,,131012
129819,1,2018,0,0,0,0,0,80000,1,,131056
129861,1,2018,84000,0,0,0,0,0,1,,131145
129875,1,2018,33600,42000,0,0,0,0,1,,131150
131761,1,2018,0,12940,0,0,0,0,1,,132253
131543,1,2018,0,12000,0,21700,0,4720,1,,132874
131608,1,2018,0,0,0,11000,0,0,1,,132900
129706,1,2018,0,0,0,30000,0,0,1,,130763
130069,1,2018,48000,0,2000,0,0,0,1,,130768
129919,1,2018,30000,20000,20000,5000,0,0,1,,130773
131002,1,2018,0,0,49200,0,0,0,1,,132350
131047,1,2018,0,72908,0,1392,0,0,1,,132369
131760,1,2018,0,0,0,3500,0,150000,1,,133090
131503,1,2018,0,7400,0,0,0,0,1,,132848
131767,1,2018,0,4277728,0,0,0,0,1,,133078
131488,1,2018,0,11760,0,0,0,0,1,,132727
131466,1,2018,0,11760,0,0,0,0,1,,132776
130475,1,2008,0,0,0,60000,0,0,1,,131788
130603,1,2018,6888,0,27722,21870,0,0,1,,131896
130632,1,2018,0,0,24000,0,0,0,1,,131948
131917,1,2018,28800,0,0,0,12000,0,1,,133248
131174,1,2018,47320.8,34908.36,0,0,0,0,1,,132512
131297,2,,0,0,0,0,0,0,1,,132638
131245,1,2018,30000,0,1000,0,8400,0,1,,132542
131532,1,2018,24600,0,0,0,0,21600,1,,132545
131930,1,2018,0,11160,0,0,0,0,1,,133259
131971,1,2018,0,3640,0,33000,0,0,1,,131507
131940,1,2018,20000,0,0,0,0,0,1,,133274
